slug,maker,models,group,setting,depth,matched,test,level_dbfs,imd_pct,imd_db
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,ccif_19_20k,-3.0,0.00137,-97.3
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,smpte_60_7k,-30.0,0.0016,-95.91
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,smpte_60_7k,-18.0,0.0053,-85.51
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,smpte_60_7k,-12.0,0.0084,-81.51
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,smpte_60_7k,-6.0,0.01143,-78.84
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,smpte_60_7k,-3.0,0.01242,-78.12
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,ccif_19_20k,-30.0,0.0034,-89.38
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,ccif_19_20k,-18.0,0.01291,-77.78
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,ccif_19_20k,-12.0,0.0244,-72.25
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,ccif_19_20k,-6.0,4.1995,-27.54
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,ccif_19_20k,-3.0,12.17958,-18.29
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,smpte_60_7k,-30.0,0.15545,-56.17
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,smpte_60_7k,-18.0,0.4236,-47.46
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,smpte_60_7k,-12.0,0.56759,-44.92
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,smpte_60_7k,-6.0,29.73538,-10.53
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,full,,smpte_60_7k,-3.0,68.475,-3.29
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,ccif_19_20k,-30.0,0.00055,-105.14
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,ccif_19_20k,-18.0,0.00206,-93.72
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,ccif_19_20k,-12.0,0.00392,-88.12
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,ccif_19_20k,-6.0,0.00722,-82.83
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,ccif_19_20k,-3.0,0.67181,-43.46
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,smpte_60_7k,-30.0,0.01573,-76.07
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,smpte_60_7k,-18.0,0.04966,-66.08
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,smpte_60_7k,-12.0,0.07593,-62.39
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,smpte_60_7k,-6.0,0.09853,-60.13
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,full,,smpte_60_7k,-3.0,7.2025,-22.85
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-30.0,0.00299,-90.48
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-18.0,0.01137,-78.88
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-12.0,0.02151,-73.35
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-6.0,3.49304,-29.14
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-3.0,11.2669,-18.96
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-30.0,0.13301,-57.52
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-18.0,0.3668,-48.71
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-12.0,0.4964,-46.08
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-6.0,25.48661,-11.87
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-3.0,63.75281,-3.91
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,ccif_19_20k,-30.0,0.00501,-86.0
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,ccif_19_20k,-18.0,0.01904,-74.4
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,ccif_19_20k,-12.0,0.03588,-68.9
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,ccif_19_20k,-6.0,0.06444,-63.82
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,ccif_19_20k,-3.0,0.08406,-61.51
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,smpte_60_7k,-30.0,0.01524,-76.34
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,smpte_60_7k,-18.0,0.05707,-64.87
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,smpte_60_7k,-12.0,0.10556,-59.53
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,smpte_60_7k,-6.0,0.18358,-54.72
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,smpte_60_7k,-3.0,0.23415,-52.61
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,ccif_19_20k,-30.0,0.2082,-53.63
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,ccif_19_20k,-18.0,0.74657,-42.54
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,ccif_19_20k,-12.0,1.31548,-37.62
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,ccif_19_20k,-6.0,2.12623,-33.45
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,ccif_19_20k,-3.0,3.57374,-28.94
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,smpte_60_7k,-30.0,0.62831,-44.04
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,smpte_60_7k,-18.0,2.17472,-33.25
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,smpte_60_7k,-12.0,3.68854,-28.66
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,smpte_60_7k,-6.0,5.63706,-24.98
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,full,,smpte_60_7k,-3.0,16.30806,-15.75
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_6,full,,ccif_19_20k,-30.0,0.04502,-66.93
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_6,full,,ccif_19_20k,-18.0,0.1696,-55.41
