slug,maker,models,group,element,gr_target_db,marking,phase,time_ms,gr_db
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,0.5,0.505458900958013
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,1.0,0.42379509216163136
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,10.0,2.0666875437036136
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,100.0,3.0935455160118224
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,1000.0,3.0931023458258036
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,2.0,0.8852762105060332
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,20.0,2.7302391223138454
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,200.0,3.0935295794786306
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,2000.0,2.756628889315719
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,5.0,1.3791827152543537
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,50.0,3.077456849220276
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,500.0,3.093319920918704
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,5000.0,3.0662222079096413
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,0.1,1.0441040793517793
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,0.2,2.5752992359475293
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,0.5,2.9048753847015547
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,1.0,3.0317582829328966
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,10.0,3.0873122309591245
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,100.0,3.0875943642344286
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,1000.0,3.086532863958583
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,2.0,3.202392022307997
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,20.0,3.087532521990969
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,200.0,3.0875225336042504
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,2000.0,3.083020074512728
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,5.0,3.08629318910109
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,50.0,3.0876050711951155
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,500.0,3.0872301606374553
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,release,5000.0,2.981556033388678
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,0.1,0.6403156077369127
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,0.2,0.14014829417147734
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,0.5,0.024371996286810083
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,1.0,0.03679690898559551
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,10.0,0.31740034766128356
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,100.0,0.7033951465887
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,1000.0,0.7054630435781909
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,2.0,0.08064773519345825
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,20.0,0.49055621649918246
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,200.0,0.7054976434532011
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,2000.0,0.27643502106826534
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,5.0,0.18314556317841713
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,50.0,0.6681777157421779
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,500.0,0.7054814819516406
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,attack,5000.0,0.7007124034486315
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,0.1,-0.7078538251067015
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,0.2,-0.8425161348048431
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,0.5,0.6024717945014645
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,1.0,0.7543869453493326
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,10.0,0.708497206141686
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,100.0,0.7055565277346132
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,1000.0,0.7049131753186171
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,2.0,0.7188460317431244
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,20.0,0.7068584594879473
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,200.0,0.7053776031339767
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,2000.0,0.7033517775478597
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,5.0,0.711516494431607
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,50.0,0.7058834458412615
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,500.0,0.705199952408427
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,as_set,release,5000.0,0.6950951377463173
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,0.1,0.85380573549992
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,0.2,0.10278566385740717
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,0.5,0.3131412524987205
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,1.0,0.2787922033791599
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,10.0,1.7329915625149397
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,100.0,2.675695116562201
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,1000.0,2.6754996625386074
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,2.0,0.6430017224121141
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,20.0,2.3362297661095575
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,200.0,2.675731833750284
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,2000.0,2.2898335096113627
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,5.0,1.113875202062589
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,50.0,2.6597912928335603
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,500.0,2.675615236919043
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,attack,5000.0,2.639768771237735
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,0.1,0.7233710260925665
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,0.2,1.80836447008088
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,0.5,2.4446193995826544
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,1.0,2.661717517299035
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,10.0,2.6738748257323124
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,100.0,2.6726292433692436
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,1000.0,2.6709055568225057
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,2.0,2.761996289434455
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,20.0,2.6732119447632243
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,200.0,2.672445441778848
