slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,thd_db,gain_db,noise_floor_db,clipped,rejected_runs,h2,h3,h4,h5,h6,h7,h8
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-15.0,8.553866478795841,-21.356750662539866,6.006,-134.95908348628834,False,0,-21.490478086536278,-57.54500997002693,-37.195886753099856,-64.72644270356686,-46.22781883731292,-69.9977408191958,-52.91748494760506
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-18.0,8.106851797914889,-21.822955325730902,5.998,-138.02877795597854,False,0,-21.934312252802968,-56.30200942188489,-38.39249681785164,-64.17996534106902,-48.02890214737373,-69.98388279857197,-55.21538339565049
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-21.0,7.524123114041824,-22.470882137734684,5.989,-141.09882475254486,False,0,-22.55937856045562,-55.44629706149439,-39.99521921745519,-64.12002854824429,-50.35912344144001,-70.49936017625568,-58.108708120983295
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-24.0,6.809116643108871,-23.33818452211785,5.978,-144.17366693631405,False,0,-23.405298490844928,-55.02416901988158,-42.066588415457105,-64.57751681715894,-53.26887426672069,-71.54922179034692,-61.62235916871866
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-27.0,5.987180238056275,-24.45555335315431,5.967,-147.2509727376037,False,0,-24.50439426627577,-55.06460224182062,-44.650052920771586,-65.55462611560066,-56.77565992541713,-73.10253872022264,-65.73773828392956
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-3.0,9.346783365231794,-20.58675646079793,6.024,-122.78876114518579,True,0,-20.779747804320486,-65.1876698184111,-35.06284609357834,-70.57372170176588,-42.78028827837851,-74.34003527245613,-48.27132018267964
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-30.0,5.104279344571989,-25.8413113154934,5.956,-150.32267399777092,False,0,-25.875874049817256,-55.574274543470736,-47.7624624783129,-67.02122941024048,-60.857819443095316,-75.09410446501926,-70.39146390109978
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-36.0,3.383712247172996,-29.412131534282658,5.936,-156.45000119624757,False,0,-29.429698221967957,-57.91137690953364,-55.49698809212396,-71.16690836897943,-70.48415935905987,-80.03325466622327,-80.90626910994027
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-42.0,2.0181796889522747,-33.900803377975535,5.921,-162.5378949836066,False,0,-33.91185848698211,-61.68509865399534,-64.89935026509889,-76.38859818000596,-81.43908003617084,-85.68183811676455,-92.2941146302638
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-48.0,1.11705395811912,-39.038516964770935,5.912,-168.5939089813411,False,0,-39.04768572186461,-66.43365972843091,-75.45268764486838,-82.13491528582603,-93.0262210262484,-91.60816906936068,-103.7898946985157
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-54.0,0.5905824556496069,-44.57438917409465,5.907,-174.62758595504954,False,0,-44.583170991379156,-71.76660931425968,-86.73692155812586,-88.10122022783658,-104.72890181004784,-97.64653581303702,-114.47602381250172
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-6.0,9.251795245798286,-20.67547974587951,6.021,-125.82803249999351,True,0,-20.859028648102083,-63.00222854324701,-35.32758178423133,-68.70311820481376,-43.23750132529561,-72.75006682897363,-48.918346704023755
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-60.0,0.3043092845237613,-50.33369594094548,5.904,-180.6416545251746,False,0,-50.34245660854782,-77.42426359241735,-98.57151813537455,-94.18271975017346,-115.78098670446931,-103.7691495795496,-122.65233556721368
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-9.0,9.103007371514805,-20.81630211163585,6.017,-128.85631339660995,False,0,-20.986883253384015,-60.95820549905493,-35.732596287068034,-67.0565431166136,-43.91400210564786,-71.44573001415138,-49.852005733494906
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,0.0,13.087303884479718,-17.662996264850644,5.42,-121.44227491711052,True,0,-18.513260458779197,-26.348866960865553,-35.70204553626114,-33.82145524226686,-47.383166280413214,-58.19523173059722,-46.231207389949525
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,3.0,23.354169908672525,-12.63271128984444,3.1,-121.63105569751221,True,0,-17.55297579457223,-14.533269739605394,-33.16722787877972,-40.72511065445477,-35.928232221356716,-30.800438871312046,-39.58487832257981
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,1000.0,-12.0,3.007787404895588,-30.43505727213732,6.06,-132.84520116288786,False,0,-30.530441913768335,-63.94764223708812,-47.64017631352416,-72.37011039156572,-57.77401328413355,-78.6147142955569,-65.36421700419342
