slug,maker,models,group,setting,level_dbfs,crest_in_db,crest_out_db,crest_change_db,slew_index,click_peak_gain_db,tone_gain_db,square_slope_ratio,sine_slope_ratio
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,-6.0,36.224,36.152,-0.072,0.96228,2.721,2.721,1.36795,1.42158
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,-12.0,36.224,36.225,0.0,0.99657,0.001,0.002,1.00019,1.00362
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,-24.0,36.224,36.226,0.002,0.9873,0.009,0.01,1.00104,1.01392
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,-3.0,36.224,36.221,-0.003,0.99691,-0.015,-0.015,0.9983,1.0014
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,-6.0,36.224,36.224,-0.001,0.99744,-0.006,-0.006,0.99932,1.00189
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,-12.0,36.224,36.186,-0.038,0.99353,0.367,0.76,1.04979,1.05662
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,-24.0,36.224,36.192,-0.032,0.99681,0.391,0.796,1.05334,1.05672
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,-3.0,36.224,36.137,-0.088,0.97098,0.159,0.546,1.02495,1.05558
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,-6.0,36.224,36.165,-0.06,0.98376,0.278,0.663,1.03869,1.05584
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,-12.0,36.224,36.192,-0.032,0.99695,-0.063,0.346,0.99994,1.003
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,-24.0,36.224,36.192,-0.032,0.99695,-0.063,0.346,0.99994,1.003
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,-3.0,36.224,36.192,-0.032,0.99695,-0.063,0.346,0.99994,1.003
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,-6.0,36.224,36.192,-0.032,0.99695,-0.063,0.346,0.99994,1.003
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,-12.0,36.224,36.147,-0.077,0.97384,3.688,3.972,1.53028,1.57139
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,-24.0,36.224,36.194,-0.031,1.00308,3.746,4.181,1.56822,1.56341
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,-3.0,36.224,35.709,-0.516,0.80517,2.052,2.271,1.26512,1.57124
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,-6.0,36.224,35.977,-0.247,0.90476,3.017,3.229,1.41329,1.56206
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,-12.0,36.224,36.166,-0.058,0.98214,2.001,2.35,1.26505,1.28806
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,-24.0,36.224,36.192,-0.033,0.99419,2.118,2.508,1.28145,1.28893
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,-3.0,36.224,35.923,-0.302,0.88192,1.058,1.361,1.13284,1.28451
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,-6.0,36.224,36.065,-0.159,0.93959,1.615,1.909,1.20556,1.28306
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,-12.0,36.224,36.135,-0.09,0.97212,-0.248,0.268,0.95795,0.98542
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,-24.0,36.224,36.114,-0.11,0.93963,-0.339,0.252,0.92355,0.98289
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,-3.0,36.224,36.166,-0.058,1.00291,-0.104,0.3,0.99355,0.99066
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,-6.0,36.224,36.154,-0.07,0.99318,-0.159,0.286,0.9817,0.98843
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,-12.0,36.224,34.804,-1.42,0.77836,7.391,9.054,2.20591,2.83405
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,-24.0,36.224,35.162,-1.063,0.6159,7.683,9.379,1.64787,2.67554
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,-3.0,36.224,29.886,-6.339,0.26107,-1.055,0.833,0.79907,3.06078
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,-6.0,36.224,32.106,-4.118,0.36713,1.938,3.708,1.12871,3.07445
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,-12.0,36.224,35.632,-0.593,0.83865,0.373,1.577,0.9391,1.11978
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,-24.0,36.224,35.71,-0.515,0.72423,0.216,1.507,0.80388,1.10998
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,-3.0,36.224,35.312,-0.912,0.86412,-0.164,0.914,1.00486,1.16288
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,-6.0,36.224,35.7,-0.524,0.91172,0.672,1.655,1.03431,1.13446
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,-12.0,36.224,36.077,-0.148,0.95277,0.051,0.671,0.98062,1.02923
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,-24.0,36.224,36.046,-0.178,0.90886,-0.076,0.648,0.93218,1.02566
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,-3.0,36.224,36.123,-0.101,0.99496,0.25,0.716,1.03143,1.03666
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,-6.0,36.224,36.106,-0.119,0.98134,0.173,0.697,1.01421,1.03349
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,-12.0,36.224,35.29,-0.935,0.82443,6.907,8.252,1.96479,2.3832
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,-24.0,36.224,35.324,-0.9,0.64142,6.424,8.016,1.47268,2.29597
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,-3.0,36.224,31.54,-4.685,0.32855,-0.763,0.955,0.84903,2.58417
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,-6.0,36.224,33.225,-3.0,0.47306,2.232,3.745,1.19929,2.53516
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,-12.0,36.224,35.175,-1.049,0.79871,7.566,8.986,2.11279,2.64526
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,-24.0,36.224,35.226,-0.999,0.62544,7.233,8.89,1.58405,2.53269
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,-3.0,36.224,30.532,-5.693,0.27598,-0.943,0.894,0.81431,2.95063
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,-6.0,36.224,32.567,-3.657,0.40432,2.051,3.744,1.15025,2.84487
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,-12.0,36.224,36.247,0.022,0.98475,-0.024,0.021,1.00175,1.01727
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,-24.0,36.224,36.247,0.022,0.98463,-0.024,0.021,1.00163,1.01726
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,-3.0,36.224,36.247,0.022,0.98492,-0.023,0.021,1.00194,1.01728
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,-6.0,36.224,36.247,0.022,0.98486,-0.024,0.021,1.00187,1.01728
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,-12.0,36.224,35.901,-0.324,1.0002,5.747,5.902,1.99485,1.99446
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,-24.0,36.224,35.896,-0.329,0.9912,5.717,5.886,1.97626,1.9938
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,-3.0,36.224,34.293,-1.931,0.62355,0.513,3.2,1.2496,2.00399
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_12,-6.0,36.224,34.657,-1.567,0.88462,3.108,5.866,1.7651,1.99531
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,-12.0,36.224,36.245,0.02,0.98649,1.394,1.46,1.18252,1.19872
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,-24.0,36.224,36.245,0.02,0.98532,1.391,1.458,1.18107,1.19867
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,-3.0,36.224,35.866,-0.359,0.95872,0.641,1.461,1.14934,1.19884
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_6,-6.0,36.224,36.245,0.02,0.98743,1.398,1.462,1.18371,1.19878
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,-12.0,36.224,35.984,-0.241,0.99815,5.488,5.631,1.92995,1.93352
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,-24.0,36.224,35.981,-0.244,0.99029,5.462,5.618,1.91421,1.93298
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,-3.0,36.224,34.422,-1.803,0.64631,0.56,3.194,1.25425,1.94064
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,-6.0,36.224,34.917,-1.308,0.90149,3.189,5.607,1.74369,1.93424
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,-12.0,36.224,36.215,-0.01,0.92158,-0.143,-0.069,0.9142,0.99199
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,-24.0,36.224,36.214,-0.011,0.92143,-0.153,-0.068,0.91363,0.99154
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,-3.0,36.224,36.216,-0.008,0.92168,-0.126,-0.07,0.91521,0.99298
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,-6.0,36.224,36.216,-0.009,0.92167,-0.133,-0.069,0.9148,0.99255
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,-12.0,36.224,36.263,0.039,0.92807,5.734,5.775,1.76008,1.89649
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,-24.0,36.224,36.235,0.01,0.9248,5.411,5.469,1.72264,1.86272
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,-3.0,36.224,36.283,0.058,0.90502,6.169,6.205,1.77632,1.96275
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_12,-6.0,36.224,36.278,0.054,0.92609,6.012,6.05,1.79215,1.93517
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_6,-12.0,36.224,36.227,0.003,0.92352,0.846,0.899,1.01965,1.10409
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_6,-24.0,36.224,36.219,-0.005,0.92223,0.764,0.828,1.01409,1.09961
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_6,-3.0,36.224,36.238,0.014,0.92389,0.986,1.029,1.02898,1.11374
