slug,maker,models,group,band,gain_label,hz,level_dbfs,thd_pct,h2,h3,h4,h5,h6,h7,h8
api550a,Waves,API 550A,eq-api,high_bell,+12,100.0,-18.0,0.0035163616791853525,-89.1203150963215,-109.29560273713825,-131.2792467494329,-133.4824811221169,-137.16310116136196,-135.55499545336394,-135.96282045586273
api550a,Waves,API 550A,eq-api,high_bell,+12,100.0,-6.0,0.014620217839672796,-77.24543743809393,-85.9893819600321,-125.69598040551253,-123.26082731545699,-145.46316257262254,-141.83655833847308,-151.96738003935215
api550a,Waves,API 550A,eq-api,high_bell,+12,1000.0,-12.0,0.007355447400346347,-82.67017780868449,-115.69201138845446,-132.50667516072812,-132.63308903171264,-138.29481804148008,-129.99009349168256,-137.80016944885372
api550a,Waves,API 550A,eq-api,high_bell,+12,1000.0,-18.0,0.0036960146675812924,-88.65094781564059,-121.6211407901215,-130.7865736460614,-126.43955672475505,-125.19025521937338,-124.1336349756204,-130.99899954005846
api550a,Waves,API 550A,eq-api,high_bell,+12,1000.0,-6.0,0.01454802631917045,-76.75282027915881,-103.67389576260449,-124.37597384897833,-135.945543431836,-136.3928560570568,-154.85972180921178,-140.94204330425865
api550a,Waves,API 550A,eq-api,high_bell,+12,10000.0,-12.0,0.02420027024843466,-72.3235956830785,,,,,,
api550a,Waves,API 550A,eq-api,high_bell,+12,10000.0,-18.0,0.012605209771314971,-77.9889984511327,,,,,,
api550a,Waves,API 550A,eq-api,high_bell,+12,10000.0,-6.0,0.04103075076908091,-67.73781072725401,,,,,,
api550a,Waves,API 550A,eq-api,high_bell,+12,125.0,-12.0,0.007041589957290297,-83.16339584741814,-98.80990187811376,-141.34315057369116,-138.7446979985521,-145.17262840801675,-143.76027429182238,-134.7924781242418
api550a,Waves,API 550A,eq-api,high_bell,+12,125.0,-18.0,0.0035079908775046305,-89.13149443743238,-110.42892462740892,-136.76758044572188,-134.9831938952982,-142.01925650364248,-130.7428815107516,-137.5021941796192
api550a,Waves,API 550A,eq-api,high_bell,+12,125.0,-6.0,0.014359775062472867,-77.25307447290645,-87.4555788429042,-125.49193083895895,-125.17308426592693,-153.61278002573738,-150.83413182684603,-143.91641673141424
api550a,Waves,API 550A,eq-api,high_bell,+12,1250.0,-12.0,0.007611011584489475,-82.37311330888645,-116.28128178871964,-128.3092700604156,-135.17127853340236,-139.39538177970257,-135.76600453683167,-133.50130830022886
api550a,Waves,API 550A,eq-api,high_bell,+12,1250.0,-18.0,0.0038210516114925695,-88.35771102452945,-126.18044998886118,-133.6280333676982,-141.29880081187315,-139.69916732829995,-128.75570134215377,-136.098419848546
api550a,Waves,API 550A,eq-api,high_bell,+12,1250.0,-6.0,0.015006606489726923,-76.48025056518372,-105.19658067144341,-125.06277937016833,-136.56829297738216,-144.26113256714984,-139.2123045038923,-145.9235736917827
api550a,Waves,API 550A,eq-api,high_bell,+12,160.0,-12.0,0.007016305225231812,-83.15583979445535,-100.57429463681599,-142.99010727257883,-150.9917798962138,-138.2319384752969,-154.3863528917014,-147.6310739211797
api550a,Waves,API 550A,eq-api,high_bell,+12,160.0,-18.0,0.003503004058914653,-89.12809679637455,-113.34510313507946,-145.21975539497464,-139.8395502705516,-131.48395734300698,-162.0738472772053,-132.59555022800086
api550a,Waves,API 550A,eq-api,high_bell,+12,160.0,-6.0,0.014146715987033726,-77.2555384873837,-89.20799191222193,-126.1472382615218,-127.61770636879262,-150.26480086341033,-148.35404808423186,-151.9141494017138
api550a,Waves,API 550A,eq-api,high_bell,+12,1600.0,-12.0,0.008029317637375718,-81.90774988526813,-117.87318369980129,-133.05021659828833,-133.94200661110918,-135.7296145210605,-127.08700679679973,-137.18635218323655
api550a,Waves,API 550A,eq-api,high_bell,+12,1600.0,-18.0,0.00405181622813573,-87.84954971180557,-128.9233666000144,-130.45875931634293,-129.5962421273163,-122.864134748919,-129.7641378140853,-139.56849510571448
