element,gr_target_db,group,hold,maker,models,slug,family,gr_at_end_of_hold_db,gr_measured_db,reached,release_0.1_ms,release_0.2_ms,release_0.5_ms,release_1000_ms,release_100_ms,release_10_ms,release_1_ms,release_2000_ms,release_200_ms,release_20_ms,release_2_ms,release_5000_ms,release_500_ms,release_50_ms,release_5_ms
fet,15.0,fet-1176,hold_0.03s,UAD,UREI 1176LN Rev E,1176ln,comp,13.14813627305036,15.0,True,12.632272878092675,12.121536676079627,12.061350500239728,0.5990052841229669,8.920925267545707,12.615608198651007,11.869705155170074,0.15988031324273244,5.943548456470433,12.221218476095073,13.283798022728401,0.007193197652084038,2.021592293527016,10.950031067372013,12.786024156689795
fet,15.0,fet-1176,hold_0.3s,UAD,UREI 1176LN Rev E,1176ln,comp,13.75194929134667,15.0,True,13.367312590977196,13.019824082150556,13.106405597362146,1.1352936082107359,9.901087716905531,13.377988296642052,13.079679257865962,0.34716424663217715,7.04438900365707,12.991261724235377,13.74754123555636,0.01506107366625109,2.95973322082987,11.760776029905847,13.535599654976787
fet,15.0,fet-1176,hold_3s,UAD,UREI 1176LN Rev E,1176ln,comp,15.542082913886917,15.0,True,15.14497341284429,14.806653040905587,14.896415035465623,3.42623285795806,12.827908685542026,15.2790473971092,14.87800771431333,1.231248407005019,10.622557807468775,15.019277674972832,15.542753101136643,0.05495403937921495,6.394525474444399,14.150092346762422,15.372770293367239
fet,3.0,fet-1176,hold_0.03s,UAD,UREI 1176LN Rev E,1176ln,comp,1.9971965562437015,2.79,True,1.4672250340081217,0.9297540366315173,1.0138520595168892,0.06982532722501222,1.274255989609527,1.941685795168965,0.9133590342650564,0.018227949991572956,0.8105401785373436,1.9099959220132945,2.1658147693068743,0.001129088152724833,0.25077517692781814,1.6572383364754097,1.9100581814786448
fet,3.0,fet-1176,hold_0.3s,UAD,UREI 1176LN Rev E,1176ln,comp,2.279463671273289,2.79,True,1.7965596924121785,1.3698410715962561,1.5086964985030882,0.1419241206748385,1.5033428044564658,2.2404831096875455,1.4991623206362235,0.041295292475735046,1.029154252388678,2.18617058624163,2.337432433413035,0.0016793610333092346,0.3957091791999696,1.8913489476000622,2.219681703490618
fet,3.0,fet-1176,hold_3s,UAD,UREI 1176LN Rev E,1176ln,comp,3.038955891090904,2.79,True,2.556928638601259,2.1394263203285364,2.277458658465825,0.5234900218861958,2.3268803520910115,3.006082255650722,2.271172325711844,0.17641929862247263,1.8424366805643873,2.9623903709199615,3.0899707818215845,0.00790219614480403,1.036023617508711,2.6936884963149597,2.980033822518032
fet,6.0,fet-1176,hold_0.03s,UAD,UREI 1176LN Rev E,1176ln,comp,4.79107633463064,6.02,True,4.263688979400369,3.726661070710948,3.7888128429807226,0.18073491913607423,3.078107035619501,4.603728433330626,3.67142405077414,0.04679520678913505,1.9883473025328737,4.456920882224463,4.947723993756187,0.0021417327293754562,0.6356925816683985,3.8955808507434653,4.634052248053246
fet,6.0,fet-1176,hold_0.3s,UAD,UREI 1176LN Rev E,1176ln,comp,5.207426817639963,6.02,True,4.7403960514449714,4.323245988873824,4.453788392940405,0.35510039535366433,3.5108416083394713,5.060088994112504,4.439355944804961,0.10472032222369022,2.432313413764999,4.897357229628828,5.246552623414488,0.003968335899641018,0.9654816003521003,4.3098676130827185,5.096456131296647
fet,6.0,fet-1176,hold_3s,UAD,UREI 1176LN Rev E,1176ln,comp,6.382046387012335,6.02,True,5.912719410702103,5.508025052833227,5.636973996254453,1.1776144334717964,4.961040816472595,6.263364410283024,5.626905161981342,0.4053423602602534,3.9640992669833497,6.139016944721753,6.413858518155025,0.01779576671134414,2.2844448791792553,5.6502743381883604,6.280473326844451
vca,10.0,vca-dbx160,hold_0.03s,UAD,dbx 160 VU,dbx160,comp,6.9266619627542285,9.74,True,7.862167828380103,7.718711610815503,7.706151303865073,0.000423566775159194,0.006975680457435726,7.0254670012819025,7.650956613275703,0.0001335252363923109,0.003105194427871813,6.087693369886675,7.802219011002271,-0.00018861015328557051,0.0009914494536767543,3.2309914332056433,7.483665556817045
