slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,valid_orders,h2,h3,h4,h5,h6,h7,h8
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,1250.0,-3.0,0.0940298112593883,19,-60.83583687445461,-72.60672558596814,-87.98659102902347,-86.14249969398631,-102.82981612972826,-95.42629434913857,-114.43777812346147
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,160.0,-12.0,0.05116357737799528,150,-66.1672485119856,-77.13712061951264,-99.97708157446768,-92.42720614186369,-116.89621897041896,-101.87799253233078,-127.1703738526104
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,160.0,-3.0,0.1143915376000073,150,-59.12782177483818,-71.02481209585667,-85.37444267321251,-84.3459364496686,-100.40525198633766,-93.25397018307572,-110.78441554221834
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,1600.0,-12.0,0.04116463008804473,14,-68.05752657297793,-79.00337962237543,-102.33706837182123,-94.29885294951151,-121.38156026017766,-104.15143308061685,-126.7900631148391
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,1600.0,-3.0,0.09394182651880095,14,-60.84342991201015,-72.62456048052587,-87.83078822243105,-86.20562996941135,-103.66340048846928,-95.46021101236437,-114.02634292823515
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,200.0,-12.0,0.049737460537433324,120,-66.41449745887545,-77.36219910665524,-100.35477392215013,-92.61761613437345,-118.08408279956176,-102.16087984477454,-125.64105906061583
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,200.0,-3.0,0.11150352099440142,120,-59.3513109218198,-71.2217683806647,-85.7005066647683,-84.5581682645479,-100.88934487504275,-93.51457854023066,-110.89588979789121
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,2000.0,-12.0,0.04122076406702937,11,-68.04255838951197,-79.0209545996795,-103.35703696940595,-94.46097850043223,-119.47778440113322,-104.30722085925237,-125.46933961095428
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,2000.0,-3.0,0.09399209083810679,11,-60.83654799126697,-72.64116843544107,-88.04430871428909,-86.31953367011843,-103.47220157938253,-95.66972567351323,-114.26518215298763
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,250.0,-12.0,0.04802693590661896,96,-66.7190685540813,-77.65757295505992,-100.79398848227429,-92.93064475327371,-118.80027071206385,-102.53393905170793,-125.38689152850438
