slug,maker,models,family,group,state,condition,rms_dbfs,peak_dbfs,a_weighted_dbfs,noise_added_db,controls,loudest_tone_hz,loudest_tone_dbfs
ssl_ev2,Waves,SSL 4000 E console channel,colour,console-ssl,on,silence,-200.0,-200.0,-200.0,0.0,analog=On ,,
ssl_ev2,Waves,SSL 4000 E console channel,colour,console-ssl,on,under_tone_-12,-55.83,-55.01,-131.13,64.81,analog=On ,23999.6,-145.86
studer_a800,UAD,Studer A800 multitrack,tape,tape-machine,off,silence,-200.0,-200.0,-200.0,93.68,hiss_noise=-25.0 hum_noise=-25.0 noise=True,,
studer_a800,UAD,Studer A800 multitrack,tape,tape-machine,off,under_tone_-12,-105.02,-64.35,-117.5,2.36,hiss_noise=-25.0 hum_noise=-25.0 noise=True,20999.6,-128.18
studer_a800,UAD,Studer A800 multitrack,tape,tape-machine,on,silence,-106.32,-94.68,-111.63,93.68,hiss_noise=-25.0 hum_noise=-25.0 noise=True,59.7,-119.45
studer_a800,UAD,Studer A800 multitrack,tape,tape-machine,on,under_tone_-12,-102.66,-64.48,-110.66,2.36,hiss_noise=-25.0 hum_noise=-25.0 noise=True,59.7,-119.61
veq4,Waves,Neve 1081 EQ,eq,eq-neve,off,silence,-200.0,-200.0,-200.0,99.05,analog=In ,,
veq4,Waves,Neve 1081 EQ,eq,eq-neve,off,under_tone_-12,-108.01,-108.01,-185.11,7.77,analog=In ,20999.6,-197.09
veq4,Waves,Neve 1081 EQ,eq,eq-neve,on,silence,-100.95,-91.27,-101.13,99.05,analog=In ,,
veq4,Waves,Neve 1081 EQ,eq,eq-neve,on,under_tone_-12,-100.24,-90.2,-101.2,7.77,analog=In ,,
