slug,maker,models,group,element,gr_target_db,level_dbfs,out_db,gain_db,gr_db
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-54.0,-56.906,-2.906,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-6.0,-20.146,-14.146,11.24
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-9.0,-20.677,-11.677,8.771
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,0.0,-19.102,-19.102,16.196
api2500,Waves,API 2500,vca-api,vca,10.0,-12.0,-24.963,-12.963,9.995
api2500,Waves,API 2500,vca-api,vca,10.0,-15.0,-25.803,-10.803,7.835
api2500,Waves,API 2500,vca-api,vca,10.0,-18.0,-26.675,-8.675,5.707
api2500,Waves,API 2500,vca-api,vca,10.0,-21.0,-27.609,-6.609,3.641
api2500,Waves,API 2500,vca-api,vca,10.0,-24.0,-28.555,-4.555,1.587
api2500,Waves,API 2500,vca-api,vca,10.0,-27.0,-29.976,-2.976,0.008
api2500,Waves,API 2500,vca-api,vca,10.0,-3.0,-22.401,-19.401,16.433
api2500,Waves,API 2500,vca-api,vca,10.0,-30.0,-32.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,10.0,-36.0,-38.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,10.0,-42.0,-44.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,10.0,-48.0,-50.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,10.0,-54.0,-56.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,10.0,-6.0,-23.264,-17.264,14.296
api2500,Waves,API 2500,vca-api,vca,10.0,-9.0,-24.12,-15.12,12.152
api2500,Waves,API 2500,vca-api,vca,10.0,0.0,-21.543,-21.543,18.575
api2500,Waves,API 2500,vca-api,vca,15.0,-12.0,-29.969,-17.969,15.001
api2500,Waves,API 2500,vca-api,vca,15.0,-15.0,-30.832,-15.832,12.864
api2500,Waves,API 2500,vca-api,vca,15.0,-18.0,-31.675,-13.675,10.707
api2500,Waves,API 2500,vca-api,vca,15.0,-21.0,-32.517,-11.517,8.549
api2500,Waves,API 2500,vca-api,vca,15.0,-24.0,-33.363,-9.363,6.395
api2500,Waves,API 2500,vca-api,vca,15.0,-27.0,-34.299,-7.299,4.331
api2500,Waves,API 2500,vca-api,vca,15.0,-3.0,-27.398,-24.398,21.43
api2500,Waves,API 2500,vca-api,vca,15.0,-30.0,-35.219,-5.219,2.251
api2500,Waves,API 2500,vca-api,vca,15.0,-36.0,-38.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,15.0,-42.0,-44.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,15.0,-48.0,-50.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,15.0,-54.0,-56.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,15.0,-6.0,-28.251,-22.251,19.283
api2500,Waves,API 2500,vca-api,vca,15.0,-9.0,-29.107,-20.107,17.139
api2500,Waves,API 2500,vca-api,vca,15.0,0.0,-26.549,-26.549,23.581
api2500,Waves,API 2500,vca-api,vca,3.0,-12.0,-17.959,-5.959,2.991
api2500,Waves,API 2500,vca-api,vca,3.0,-15.0,-18.951,-3.951,0.983
api2500,Waves,API 2500,vca-api,vca,3.0,-18.0,-20.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-21.0,-23.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-24.0,-26.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-27.0,-29.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-3.0,-15.294,-12.294,9.326
api2500,Waves,API 2500,vca-api,vca,3.0,-30.0,-32.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-36.0,-38.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-42.0,-44.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-48.0,-50.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-54.0,-56.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,3.0,-6.0,-16.134,-10.134,7.166
api2500,Waves,API 2500,vca-api,vca,3.0,-9.0,-17.038,-8.038,5.07
api2500,Waves,API 2500,vca-api,vca,3.0,0.0,-14.452,-14.452,11.484
api2500,Waves,API 2500,vca-api,vca,6.0,-12.0,-20.97,-8.97,6.002
api2500,Waves,API 2500,vca-api,vca,6.0,-15.0,-21.906,-6.906,3.938
api2500,Waves,API 2500,vca-api,vca,6.0,-18.0,-22.833,-4.833,1.865
api2500,Waves,API 2500,vca-api,vca,6.0,-21.0,-24.108,-3.108,0.14
api2500,Waves,API 2500,vca-api,vca,6.0,-24.0,-26.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,6.0,-27.0,-29.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,6.0,-3.0,-18.427,-15.427,12.459
api2500,Waves,API 2500,vca-api,vca,6.0,-30.0,-32.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,6.0,-36.0,-38.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,6.0,-42.0,-44.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,6.0,-48.0,-50.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,6.0,-54.0,-56.968,-2.968,0.0
api2500,Waves,API 2500,vca-api,vca,6.0,-6.0,-19.27,-13.27,10.302
api2500,Waves,API 2500,vca-api,vca,6.0,-9.0,-20.111,-11.111,8.143
api2500,Waves,API 2500,vca-api,vca,6.0,0.0,-17.569,-17.569,14.601
